CallNum,CallDate,CallTime,Source,DuplicateCalls,ReasonCode,ReasonText,ActionCode,PoliceYN,FireIncidents_NotUsed,Jurisdiction,StreetNum,StreetName,StreetSuf,StreetApt,IStreetNum,iStreetName,iStreetSuf,IStreetApt,Location,SiteNum,District,Zone,ReportingCode,Officer1,Officer2,HazardYN,ModifiedDate,ModifiedTime,ModifiedID,CreatedDate,CreatedTime,ClosedByID,CreatedSec,LockedByID,PrimaryOfficer,ClosedDate,ClosedTime
13-69725,20130909,152,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,15,TRACK,ST,,,,,,,,,B1,,,,Y,20130909,206,516,20130909,153,516,15,516,516,20130909,206
13-71224,20130914,18,R,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,35,FORD,ST,,,,,,,,,A2,,,,N,20130914,111,532,20130914,19,532,17,532,532,20130914,111
13-72366,20130918,10,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,8,NYE,SQ,,,,,,,,,A1,,,,N,20130918,26,475,20130918,10,475,25,475,475,20130918,26
13-73229,20130920,1644,R,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,35,BOLTON,PL,,,,,,,,,B2,,,,N,20130920,1654,342,20130920,1645,342,48,342,342,20130920,1654
13-73593,20130921,2113,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,24,GLENWOOD,SQ,,,,,,,,,A1,516,516,386,N,20130921,2120,430,20130921,2113,430,36,430,516,20130921,2120
13-73709,20130922,821,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,6,FARRINGTON,ST,,,,,,,,,A2,,,,N,20130922,834,489,20130922,822,489,21,489,489,20130922,834
13-75388,20130928,150,O,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,18,MAPLE,AVE,,,,,,,,,B2,347,347,437,N,20130928,535,519,20130928,151,519,30,462,519,20130928,535
13-75408,20130928,525,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,1,GOLDEN,CIR,,,,,,,,,A1,,,,Y,20130928,540,462,20130928,525,462,14,,,20130928,540
13-75649,20130928,2249,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,61,APPLETON,ST,,,,,,,,,A2,,,,Y,20130929,406,412,20130928,2249,412,21,412,412,20130929,406
13-75888,20130929,2201,E,0,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,134,WALNUT,ST,FL2,,,,,,,,A2,,,,N,20130929,2332,535,20130929,2202,535,55,482,535,20130929,2332
13-75913,20130930,111,H,0,GNSH,Gunshot Call By Shotspotter,,,,BRO,31,GRAND,ST,,,,,,,,,B2,,,,N,20130930,136,462,20130930,111,,40,462,,,
13-77090,20131004,230,O,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,10,IRVINGTON,ST,,,,,,,,,B1,475,475,532,N,20131004,249,475,20131004,231,475,37,475,475,20131004,249
13-77331,20131004,2058,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,159,PROSPECT,ST,,72,MILTON,ST,,,,,A1,,,,N,20131004,2126,517,20131004,2059,517,46,517,517,20131004,2126
13-78586,20131009,19,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,33,LOUCRAFT,AVE,,180,N WARREN,AVE,,,,,A1,513,513,,N,20131009,38,376,20131009,20,376,2,,,20131009,38
13-78868,20131009,2323,H,,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,,BRIDES,CT,,,,,,,,,A1,,,,N,20131009,2345,365,20131009,2323,365,58,,,20131009,2345
13-79068,20131010,2133,H,2,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,17,OWENS,AVE,,25,PACKARD,ST,,,,,B2,,,,N,20131010,2152,517,20131010,2134,517,49,441,,20131010,2152
13-80392,20131015,2020,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,28,WARREN,AVE,,90,SPRING,ST,,,,,A2,,,,N,20131015,2033,446,20131015,2021,446,43,446,446,20131015,2033
13-81303,20131018,2337,O,1,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,35,WARREN,AVE,,,,,,,,,A2,287,287,,N,20131019,35,462,20131018,2338,462,12,462,,20131019,35
13-83228,20131026,249,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,123,HUNTINGTON,ST,,,,,,,,,A2,,,,N,20131026,304,384,20131026,251,384,51,384,384,20131026,304
13-85415,20131102,2004,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,107,PLEASANT,ST,,,,,,,,,A2,,,,N,20131102,2037,460,20131102,2004,460,17,,,20131102,2037
13-86236,20131105,2038,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,,WASHBURN,AVE,,,,,,,,,A2,,,,N,20131105,2044,399,20131105,2039,399,8,399,,20131105,2044
13-86889,20131108,201,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,203,N WARREN,AVE,,,,,,,,,A2,384,384,,N,20131108,210,376,20131108,202,376,36,,,20131108,210
13-87498,20131110,138,H,,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,20,GRAND,ST,,,,,,,,,B2,,,,N,20131110,239,493,20131110,139,493,11,493,493,20131110,239
13-87866,20131111,1751,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,119,WALNUT,ST,,,,,,,,,A2,,,,N,20131111,1903,418,20131111,1752,418,28,418,418,20131111,1903
13-88241,20131113,17,R,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,29,HILLBERG,AVE,,,,,,,,,B1,,,,N,20131113,31,379,20131113,18,379,27,,,20131113,31
13-89109,20131116,130,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,151,GREEN,ST,,,,,,,,,A1,,,,N,20131116,142,475,20131116,131,475,14,475,475,20131116,142
13-93885,20131204,540,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,45,N MAIN,ST,,,,,,,,,A2,,,,N,20131204,548,475,20131204,540,475,10,475,532,20131204,548
13-95080,20131208,437,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,10,WAYLAND,ST,,,,,,KAMARA RESIDENCE,187,,A2,,,,N,20131208,446,256,20131208,437,256,49,256,,20131208,446
13-98485,20131220,122,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,27,HARVARD,ST,,,,,,,,,B2,,,,N,20131220,134,377,20131220,122,377,10,377,,20131220,134
14-3,20140101,5,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,35,FAIRMOUNT,AVE,,,,,,,,,A2,,,,N,20140101,18,376,20140101,6,376,49,376,,20140101,18
14-4,20140101,9,H,,GNSH,Gunshot Call By Shotspotter,UN,N,,BRO,96,BATTLES,ST,,,,,,,,,A2,,,,N,20140101,17,376,20140101,9,376,50,,,20140101,17
14-1227,20140105,100,H,2,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,87,FULLER,ST,,,,,,,,,B1,,,,N,20140105,233,386,20140105,100,386,45,386,386,20140105,233
14-3438,20140112,2150,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,105,PLEASANT,ST,,,,,,FOUR SQUARE CHURCH,5419,,A2,,,,N,20140112,2158,509,20140112,2151,509,14,509,509,20140112,2158
14-4847,20140118,145,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,178,MAIN,ST,,,,,,,,,B2,,,,N,20140118,147,376,20140118,146,376,50,,,20140118,147
14-5080,20140118,2159,H,,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,38,WALNUT,ST,,,,,,,,,A2,,,,N,20140118,2303,399,20140118,2159,400,24,399,,20140118,2256
14-6898,20140125,2021,T,,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,44,CROWELL,ST,,,,,,,,,A2,,,,N,20140125,2132,341,20140125,2023,400,47,341,341,20140125,2057
14-9052,20140202,1809,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,77,BARTLETT,ST,,,,,,,,,B1,,,,Y,20140202,1813,489,20140202,1809,489,13,,,20140202,1813
14-12405,20140215,219,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,85,CHERRY,ST,,,,,,,,,A2,,,,N,20140215,234,493,20140215,220,493,58,493,,20140215,234
14-12406,20140215,224,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,162,WINTHROP,ST,,,,,,,,,B1,,,,N,20140215,235,316,20140215,225,316,59,316,316,20140215,235
14-18022,20140307,1318,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,419,N MAIN,ST,,,,,,,,,A2,,,,N,20140307,1325,549,20140307,1319,549,58,549,483,20140307,1325
14-20434,20140316,32,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,101,FLORENCE,ST,,,,,,,,,B1,,,,Y,20140316,150,462,20140316,33,462,47,534,504,20140316,150
14-21263,20140318,2218,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,3,FATHER KENNEY,WAY,,,,,,,,,B2,,,,N,20140318,2250,341,20140318,2219,341,21,341,341,20140318,2250
14-22452,20140323,316,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,31,MORELAND,ST,,224,GREEN,ST,,,,,A1,,,,N,20140323,332,517,20140323,317,517,8,533,,20140323,332
14-28157,20140411,130,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,3,FITZPATRICK,AVE,,,,,,,,,A1,,,,N,20140411,147,379,20140411,130,379,40,462,,20140411,147
14-28785,20140413,356,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,70,TURNER,ST,,,,,,,,,A2,,,,Y,20140413,457,379,20140413,357,379,0,473,473,20140413,457
14-29921,20140417,20,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,90,PLEASANT,ST,,,,,,,,,A2,536,536,,N,20140417,30,536,20140417,20,536,23,536,536,20140417,30
14-34475,20140503,217,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,112,LAURESTON,ST,,,,,,DEPINA RESIDENCE,6002,,B2,,,,Y,20140503,229,344,20140503,217,344,40,344,344,20140503,229
14-37130,20140511,2243,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,169,GREEN,ST,,,,,,,,,A1,,,,N,20140511,2300,349,20140511,2244,349,50,507,,20140511,2300
14-37152,20140512,107,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,114,HARVARD,ST,,,,,,,,,B1,,,,N,20140512,120,384,20140512,107,384,23,384,384,20140512,120
14-38656,20140517,56,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,191,PLEASANT,ST,,,,,,UNIVERSAL GROCERY FOOD MARKET,2496,,A1,,,,N,20140517,115,462,20140517,57,462,55,379,,20140517,115
14-39285,20140519,538,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,60,N MAIN,ST,,,,,,,,,A2,513,513,519,N,20140519,602,513,20140519,538,534,52,513,513,20140519,600
14-39894,20140521,123,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,111,WINTHROP,ST,,,,,,,,,B1,,,,N,20140521,748,442,20140521,124,442,5,475,475,20140521,748
14-39905,20140521,513,T,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,110,WYMAN,ST,,,,,,,,,A2,,,,N,20140521,528,379,20140521,514,379,5,379,379,20140521,528
14-42404,20140529,1816,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,100,N MAIN,ST,,,,,,,,,A2,,,,N,20140529,1822,443,20140529,1817,443,40,443,,20140529,1822
14-42850,20140531,537,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,25,GREEN,ST,,,,,,,,,A2,,,,N,20140531,604,242,20140531,537,242,32,242,242,20140531,604
14-43712,20140603,800,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,334,MAIN,ST,,39,LEBANON,ST,,,,,A2,504,504,,N,20140603,803,504,20140603,800,504,52,504,504,20140603,803
14-45005,20140607,415,O,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,70,N WARREN,AVE,,,,,,,,,A2,473,473,,N,20140607,448,473,20140607,415,473,37,,,20140607,448
14-45017,20140607,710,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,15,WAVERLY,ST,,,,,,,,,A2,,,,N,20140607,717,462,20140607,711,462,8,,,20140607,717
14-45291,20140608,145,H,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,76,MYRTLE,ST,,1,SECOND,ST,,,,,B1,,,,N,20140608,205,506,20140608,145,506,55,506,551,20140608,205
14-45569,20140609,49,H,1,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,144,W CHESTNUT,ST,,,,,,,,,B1,,,,N,20140609,145,504,20140609,50,504,4,504,504,20140609,145
14-45584,20140609,346,R,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,79,PROSPECT,ST,,,,,,,,,A2,,,,N,20140609,402,379,20140609,347,379,46,,,20140609,402
14-46484,20140611,1946,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,36,BOLTON,PL,,36,ALLEN,ST,,,,,B2,,,,N,20140611,1954,400,20140611,1949,400,8,,,20140611,1954
14-46848,20140613,537,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,99,N MAIN,ST,,,,,,,,,A2,,,,N,20140613,543,473,20140613,537,473,36,473,473,20140613,543
14-47143,20140614,515,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,703,MAIN,ST,,23,HANCOCK,ST,,,,,B2,,,,N,20140614,522,475,20140614,516,475,5,475,475,20140614,522
14-47145,20140614,519,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,1,ROSSETER,ST,,210,N MAIN,ST,,,,,A2,,,,N,20140614,531,516,20140614,520,516,8,516,516,20140614,531
14-47817,20140616,1044,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,67,WYMAN,ST,,,,,,,,,A2,,,,N,20140616,1634,351,20140616,1045,351,17,351,351,20140616,1634
14-48954,20140619,2334,H,2,GNSH,Gunshot Call By Shotspotter,NA,Y,,BRO,61,WAVERLY,ST,,82,TURNER,ST,,,,,A2,,,,N,20140619,2346,489,20140619,2335,489,53,,,20140619,2346
14-48976,20140620,138,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,814,MAIN,ST,,,,,,,,,B2,,,,N,20140620,254,534,20140620,139,534,40,534,534,20140620,254
14-48989,20140620,543,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,145,N MAIN,ST,,,,,,,,,A2,,,,N,20140620,553,536,20140620,544,536,43,536,,20140620,553
14-49281,20140621,421,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,70,APPLETON,ST,,75,PROSPECT,ST,,,,,A2,,,,N,20140621,434,475,20140621,422,475,46,475,532,20140621,434
14-49287,20140621,542,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,97,N MAIN,ST,,,,,,,,,A2,,,,N,20140621,554,462,20140621,542,462,48,,,20140621,554
14-49288,20140621,544,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,536,N MAIN,ST,,,,,,,,,A2,,,,N,20140621,605,516,20140621,544,462,35,516,516,20140621,555
14-49584,20140622,214,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,17,NILSSON,ST,,,,,,,,,B2,,,,Y,20140622,245,379,20140622,215,379,32,379,,20140622,244
14-51015,20140627,25,H,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,38,WYMAN,ST,,,,,,,,,A2,,,,N,20140627,1708,407,20140627,25,379,17,407,,20140627,30
14-51032,20140627,246,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,583,N MAIN,ST,,,,,,,,,A2,,,,N,20140627,309,379,20140627,247,379,50,513,,20140627,309
14-51353,20140628,229,H,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,823,WARREN,AVE,,,,,,,,,B2,,,,N,20140628,242,475,20140628,230,475,25,475,532,20140628,242
14-51598,20140629,123,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,98,FRENCH,AVE,,,,,,,,,B1,,,,Y,20140629,134,344,20140629,123,344,25,344,344,20140629,134
14-51600,20140629,125,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,126,BELMONT,ST,,,,,,CLARK BALBONI AND GILDEA LLP,653,,C1,,,,N,20140629,133,376,20140629,126,376,25,,,20140629,133
14-52121,20140701,140,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,991,MAIN,ST,,,,,,,,,B2,,,,N,20140701,150,462,20140701,140,462,43,,,20140701,150
14-53027,20140703,2256,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,4,ECHO,ST,,,,,,,,,B1,443,443,,N,20140703,2259,443,20140703,2256,443,56,443,443,20140703,2259
14-53584,20140705,2238,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,3,FULTON,ST,,,,,,,,,B2,,,,N,20140705,2253,374,20140705,2238,374,21,374,374,20140705,2253
14-54904,20140710,445,H,,GNSH,Gunshot Call By Shotspotter,AR,Y,,BRO,19,GODDARD,RD,,17,ELLSWORTH,AVE,,,,1353,A1,,,,N,20140710,2343,441,20140710,446,441,49,496,384,20140710,2343
14-56637,20140715,155,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,624,MONTELLO,ST,,,,,,,,5112,B2,,,,N,20140715,205,344,20140715,155,344,50,344,344,20140715,205
14-59100,20140722,47,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,129,GREEN,ST,,,,,,,,1334,A1,,,,N,20140722,106,384,20140722,48,379,27,384,384,20140722,105
14-64731,20140806,2231,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,115,SPRING,ST,,,,,,,,1336,A1,,,,Y,20140807,31,462,20140806,2231,462,48,441,460,20140807,31
14-65418,20140808,2314,O,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,59,DENTON,ST,,,,,,,,2121,B2,335,335,,Y,20140809,1559,421,20140808,2314,421,52,441,335,20140809,1559
14-65816,20140810,412,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,482,WARREN,AVE,,,,,,,,1226,B2,,,,N,20140810,553,517,20140810,413,517,34,517,517,20140810,553
14-66134,20140811,28,H,,GNSH,Gunshot Call By Shotspotter,IV,N,,BRO,17,PINKHAM,ST,,,,,,,,5123,B3,,,,N,20140811,42,376,20140811,29,376,17,,,20140811,42
14-69319,20140820,149,T,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,28,SOMERSET,PL,,,,,,,,2111,B2,,,,N,20140820,237,379,20140820,150,379,4,379,532,20140820,237
14-74678,20140904,234,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,20,CENTRAL,SQ,,,,,,,,2112,B2,,,,N,20140904,250,242,20140904,234,242,29,242,242,20140904,250
14-75709,20140906,1324,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,25,FULLER,ST,,,,,,MONTEIRO RESIDENCE,5290,1235,B1,,,,Y,20140906,1543,543,20140906,1325,543,38,398,543,20140906,1543
14-76088,20140907,1428,T,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,591,N MONTELLO,ST,,,,,,,,4121,A2,,,,N,20140907,1436,543,20140907,1429,543,24,,,20140907,1436
14-80270,20140918,253,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,75,E MAIN,ST,,,,,,,,3122,A2,,,,N,20140918,310,493,20140918,253,493,4,493,493,20140918,310
14-89093,20141012,2252,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,19,HERVEY,ST,,,,,,,,2111,B2,,,,Y,20141012,2305,399,20141012,2253,399,27,399,399,20141012,2305
14-91519,20141020,45,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,50,WALNUT,ST,,,,,,,,1324,A2,,,,Y,20141020,104,379,20141020,46,379,28,,,20141020,104
14-93207,20141024,1935,H,,GNSH,Gunshot Call By Shotspotter,DU,N,,BRO,467,WARREN,AVE,,,,,,,,1226,B2,,,,N,20141024,1936,398,20141024,1935,398,25,,,20141024,1936
14-93868,20141026,2332,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,,PARK,ST,,,,,,,,1226,B2,,,,N,20141027,54,379,20141026,2334,379,18,379,287,20141027,54
14-93884,20141027,55,R,,GNSH,Gunshot Call By Shotspotter,NA,Y,,BRO,,PARK,ST,,,,,,,,1226,B2,,,,N,20141027,157,379,20141027,56,379,25,,,20141027,157
14-94538,20141028,2032,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,9,KING,AVE,,,,,,,,4121,A2,477,477,,N,20141028,2052,365,20141028,2034,365,2,365,477,20141028,2052
14-95683,20141101,322,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,4,FOSTER,ST,,,,,,,,2212,B1,,,,N,20141101,419,379,20141101,323,379,31,475,475,20141101,419
14-107569,20141206,111,R,,GNSH,Gunshot Call By Shotspotter,CS,Y,,BRO,22,WILLIAMS,PL,,,,,,,,2111,B2,,,,N,20141206,123,551,20141206,112,551,14,551,551,20141206,123
14-112606,20141220,1840,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,115,LEGION,PKWY,,,,,,,,1312,A2,443,443,,N,20141220,1852,443,20141220,1841,443,45,443,443,20141220,1852
14-112715,20141221,423,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,458,MAIN,ST,,,,,,,,2111,B2,379,379,,N,20141221,430,379,20141221,424,379,15,379,379,20141221,430
14-113633,20141224,17,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,57,WAVERLY,ST,,,,,,,,3112,A2,,,,N,20141224,35,376,20141224,18,376,35,516,,20141224,35
14-114572,20141227,109,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,58,E NILSSON,ST,,,,,,,,2121,B2,,,,N,20141227,240,442,20141227,110,442,45,442,484,20141227,240
15-1,20150101,5,H,,GNSH,Gunshot Call By Shotspotter,CA,Y,,BRO,31,FARRINGTON,ST,,,,,,,,3111,A2,,,,N,20150101,9,376,20150101,5,376,19,,,20150101,9
15-1185,20150104,1659,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,15,WYMAN,ST,,,,,,No Site Name,F1116,1325,A2,436,436,335,Y,20150104,1709,489,20150104,1700,489,1,489,489,20150104,1709
15-6567,20150121,103,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,1,OAKLAND,PL,,106,N WARREN,AVE,,,,1326,A1,,,,N,20150121,126,493,20150121,104,493,56,493,493,20150121,126
15-8163,20150125,1810,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,11,TREMONT,ST,,,,,,,,2123,B2,,,,Y,20150125,2026,436,20150125,1811,436,12,436,436,20150125,2026
15-9687,20150129,2353,O,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,TRACK,ST,,,,,,,,2212,B1,546,546,,N,20150130,13,379,20150129,2354,379,19,379,,20150130,13
15-9722,20150130,242,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,76,GLENWOOD,ST,,61,HIGHLAND,ST,,,,1345,A1,,,,N,20150130,956,421,20150130,242,421,6,462,384,20150130,956
15-10415,20150201,311,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,652,MAIN,ST,,,,,,,,2113,B2,,,,N,20150201,429,517,20150201,312,517,13,517,517,20150201,429
15-11072,20150203,208,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,57,BARTLETT,ST,,,,,,,,1224,B1,,,,N,20150203,220,462,20150203,209,462,56,,,20150203,220
15-24076,20150313,656,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,54,PERKINS,AVE,,,,,,,,5124,B3,,,,N,20150313,742,379,20150313,657,379,14,,,20150313,742
15-24449,20150314,312,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,14,COTTAGE,ST,,,,,,,,1223,B2,,,,N,20150314,327,442,20150314,313,442,10,,,20150314,327
15-30992,20150402,2330,H,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,43,HILLBERG,AVE,,,,,,,,2222,B1,,,,N,20150402,2342,365,20150402,2331,365,41,,,20150402,2342
15-31408,20150404,255,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,53,FRENCH,AVE,,,,,,,,2223,B1,,,,N,20150404,431,377,20150404,256,377,29,377,377,20150404,431
15-32255,20150406,1557,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,137,WARREN,AVE,,,,,,,,1253,A2,,,,N,20150406,2025,365,20150406,1558,365,57,535,535,20150406,2025
15-33796,20150410,2330,O,,GNSH,Gunshot Call By Shotspotter,HS,Y,,BRO,73,BARTLETT,ST,,56,CHESTER,AVE,,,,1224,B1,545,545,,N,20150410,2356,365,20150410,2331,365,49,365,,20150410,2356
15-36530,20150418,2154,O,,GNSH,Gunshot Call By Shotspotter,DU,Y,,BRO,61,OAKDALE,ST,,,,,,,,3312,A1,287,287,,N,20150418,2254,441,20150418,2155,286,13,441,286,20150418,2253
15-39008,20150426,1631,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,215,PLEASANT,ST,,27,NEWBURY,ST,,,,1336,A1,,,,N,20150426,1646,446,20150426,1632,446,20,446,446,20150426,1646
15-39095,20150426,2118,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,7,POOLE,AVE,,,,,,,,2134,B1,,,,N,20150426,2137,374,20150426,2119,374,41,374,374,20150426,2137
15-40997,20150502,223,H,1,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,37,FARRINGTON,ST,,,,,,,,3111,A2,,,,N,20150502,239,516,20150502,223,516,58,516,,20150502,239
15-44116,20150510,1857,H,,GNSH,Gunshot Call By Shotspotter,UA,Y,,BRO,4,CHERRY,ST,,,,,,,,3121,A2,,,,N,20150511,15,379,20150510,1858,379,57,379,,20150511,15
15-46046,20150516,225,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,57,SOUTH,ST,,,,,,,,2125,B2,,,,N,20150516,423,442,20150516,226,442,22,532,532,20150516,423
15-46391,20150517,359,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,19,FARRINGTON,ST,,,,,,,,3111,A2,,,,Y,20150517,457,513,20150517,359,513,27,513,513,20150517,457
15-47406,20150519,2356,O,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,9,TRIBOU,ST,,,,,,,,2116,B2,477,477,,N,20150520,42,442,20150519,2356,442,54,,,20150520,42
15-47409,20150520,2,A,,GNSH,Gunshot Call By Shotspotter,UN,Y,,BRO,,DOVER,ST,,,,,,,,2211,B1,,,,N,20150520,42,442,20150520,3,442,35,442,,20150520,42
15-49170,20150524,1950,O,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,72,SPRING,ST,,,,,,No Site Name,F1074,1334,A2,534,534,,N,20150524,2231,441,20150524,1951,441,6,534,534,20150524,2231
15-49346,20150525,1049,H,,GNSH,Gunshot Call By Shotspotter,MS,Y,,BRO,120,GREEN,ST,,,,,,,,1343,A1,,,,N,20150525,1051,398,20150525,1050,398,39,,,20150525,1051
15-53430,20150605,514,H,,GNSH,Gunshot Call By Shotspotter,RT,Y,,BRO,630,MONTELLO,ST,107,,,,,GREEN RESIDENCE,5375,5112,B2,,,,N,20150605,640,475,20150605,515,475,40,475,475,20150605,640
